Month,Monthly gasoline demand Ontario gallon millions 1960 ? 1975
Jan-60,87695
Feb-60,86890
Mar-60,96442
Apr-60,98133
May-60,113615
Jun-60,123924
Jul-60,128924
Aug-60,134775
Sep-60,117357
Oct-60,114626
Nov-60,107677
Dec-60,108087
Jan-61,92188
Feb-61,88591
Mar-61,98683
Apr-61,99207
May-61,125485
Jun-61,124677
Jul-61,132543
Aug-61,140735
Sep-61,124008
Oct-61,121194
Nov-61,111634
Dec-61,111565
Jan-62,101007
Feb-62,94228
Mar-62,104255
Apr-62,106922
May-62,130621
Jun-62,125251
Jul-62,140318
Aug-62,146174
Sep-62,122318
Oct-62,128770
Nov-62,117518
Dec-62,115492
Jan-63,108497
Feb-63,100482
Mar-63,106140
Apr-63,118581
May-63,132371
Jun-63,132042
Jul-63,151938
Aug-63,150997
Sep-63,130931
Oct-63,137018
Nov-63,121271
Dec-63,123548
Jan-64,109894
Feb-64,106061
Mar-64,112539
Apr-64,125745
May-64,136251
Jun-64,140892
Jul-64,158390
Aug-64,148314
Sep-64,144148
Oct-64,140138
Nov-64,124075
Dec-64,136485
Jan-65,109895
Feb-65,109044
Mar-65,122499
Apr-65,124264
May-65,142296
Jun-65,150693
Jul-65,163331
Aug-65,165837
Sep-65,151731
Oct-65,142491
Nov-65,140229
Dec-65,140463
Jan-66,116963
Feb-66,118049
Mar-66,137869
Apr-66,127392
May-66,154166
Jun-66,160227
Jul-66,165869
Aug-66,173522
Sep-66,155828
Oct-66,153771
Nov-66,143963
Dec-66,143898
Jan-67,124046
Feb-67,121260
Mar-67,138870
Apr-67,129782
May-67,162312
Jun-67,167211
Jul-67,172897
Aug-67,189689
Sep-67,166496
Oct-67,160754
Nov-67,155582
Dec-67,145936
Jan-68,139625
Feb-68,137361
Mar-68,138963
Apr-68,155301
May-68,172026
Jun-68,165004
Jul-68,185861
Aug-68,190270
Sep-68,163903
Oct-68,174270
Nov-68,160272
Dec-68,165614
Jan-69,146182
Feb-69,137728
Mar-69,148932
Apr-69,156751
May-69,177998
Jun-69,174559
Jul-69,198079
Aug-69,189073
Sep-69,175702
Oct-69,180097
Nov-69,155202
Dec-69,174508
Jan-70,154277
Feb-70,144998
Mar-70,159644
Apr-70,168646
May-70,166273
Jun-70,190176
Jul-70,205541
Aug-70,193657
Sep-70,182617
Oct-70,189614
Nov-70,174176
Dec-70,184416
Jan-71,158167
Feb-71,156261
Mar-71,176353
Apr-71,175720
May-71,193939
Jun-71,201269
Jul-71,218960
Aug-71,209861
Sep-71,198688
Oct-71,190474
Nov-71,194502
Dec-71,190755
Jan-72,166286
Feb-72,170699
Mar-72,181468
Apr-72,174241
May-72,210802
Jun-72,212262
Jul-72,218099
Aug-72,229001
Sep-72,203200
Oct-72,212557
Nov-72,197095
Dec-72,193693
Jan-73,188992
Feb-73,175347
Mar-73,196265
Apr-73,203526
May-73,227443
Jun-73,233038
Jul-73,234119
Aug-73,255133
Sep-73,216478
Oct-73,232868
Nov-73,221616
Dec-73,209893
Jan-74,194784
Feb-74,189756
Mar-74,193522
Apr-74,212870
May-74,248565
Jun-74,221532
Jul-74,252642
Aug-74,255007
Sep-74,206826
Oct-74,233231
Nov-74,212678
Dec-74,217173
Jan-75,199024
Feb-75,191813
Mar-75,195997
Apr-75,208684
May-75,244113
Jun-75,243108
Jul-75,255918
Aug-75,244642
Sep-75,237579
Oct-75,237579
Nov-75,217775
Dec-75,227621
